index,fas_code,enrollment
575,FAS-218259-2218-1-1-001,35
576,FAS-126926-2218-1-1-001,90
577,FAS-207711-2218-1-1-001,33
578,FAS-119407-2218-1-1-001,20
579,FAS-128024-2218-1-1-001,103
580,FAS-147213-2218-1-1-001,5
581,FAS-118526-2218-1-1-001,28
582,FAS-207984-2218-1-1-001,14
583,FAS-111906-2218-1-1-001,24
584,FAS-156115-2218-1-1-001,144
585,FAS-113210-2218-1-1-001,9
586,FAS-124780-2218-1-1-001,31
587,FAS-111556-2218-1-1-001,38
588,FAS-156438-2218-1-1-001,9
589,FAS-143033-2218-1-1-001,13
590,FAS-110953-2218-1-1-001,11
591,FAS-160566-2218-1-1-001,27
592,FAS-111410-2218-1-1-001,8
593,FAS-108967-2218-1-1-001,14
594,FAS-128283-2218-1-1-001,10
595,FAS-148283-2218-1-1-001,6
596,FAS-143023-2218-1-1-001,17
597,FAS-207863-2218-1-1-001,27
598,FAS-107770-2218-1-1-001,13
599,FAS-113988-2218-1-1-001,12
600,FAS-218336-2218-1-1-01,17
601,FAS-207010-2218-1-1-01,15
602,FAS-216000-2218-1-1-01,8
603,FAS-218188-2218-1-1-01,15
604,FAS-116853-2218-1-1-001,31
605,FAS-156667-2218-1-1-01,15
606,FAS-124213-2218-1-1-01,23
607,FAS-218149-2218-1-1-01,17
608,FAS-123124-2218-1-1-01,46
609,FAS-116237-2218-1-1-01,14
610,FAS-213257-2218-1-1-01,14
611,FAS-212671-2218-1-1-01,28
612,FAS-109409-2218-1-1-01,7
613,FAS-107973-2218-1-1-01,50
614,FAS-119533-2218-1-1-01,28
615,FAS-120921-2218-1-1-01,7
616,FAS-218544-2218-1-1-01,28
617,FAS-218602-2218-1-1-01,28
618,FAS-110285-2218-1-1-01,35
619,FAS-109423-2218-1-1-01,11
620,FAS-127948-2218-1-1-01,16
621,FAS-109436-2218-1-1-01,20
622,FAS-108530-2218-1-1-01,30
623,FAS-124404-2218-1-1-01,13
624,FAS-148158-2218-1-1-01,20
625,FAS-205076-2218-1-1-01,31
626,FAS-203018-2218-1-1-01,28
627,FAS-156564-2218-1-1-01,7
628,FAS-206979-2218-1-1-01,17
629,FAS-128056-2218-1-1-01,13
630,FAS-122085-2218-1-1-01,10
631,FAS-109605-2218-1-1-01,7
